game_id,season,game_date,home_team,away_team,matchup,home_spread,total_line,home_margin,total_points,home_win,home_covered,over_hit,model_win_prob,model_pred_margin,vegas_win_prob,vegas_pred_margin,model_win_correct,vegas_win_correct,model_ats_pick,model_ats_win,unit_profit,abs_err_model,abs_err_vegas,favorite_side,spread_bucket,season_stage,b2b_status
22400014,2024-25,2024-11-15,NYK,BKN,BKN @ NYK,-8.5,214.5,2,246,1,0,1,0.758,6.26,0.7212,8.5,1,1,Away,1,0.9091,4.26,6.5,Home favored,Mid (7-11),Early,Neither/Both
22400015,2024-25,2024-11-15,SAS,LAL,LAL @ SAS,2.5,228.5,-5,235,0,0,1,0.4191,-0.85,0.4315,-2.5,1,1,Home,0,-1.0,4.15,2.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400016,2024-25,2024-11-15,HOU,LAC,LAC @ HOU,-4.5,215.5,21,229,1,1,1,0.5522,2.91,0.6219,4.5,1,1,Away,0,-1.0,18.09,16.5,Home favored,Small (3-7),Early,Neither/Both
22400017,2024-25,2024-11-15,NOP,DEN,DEN @ NOP,2.5,217.5,7,195,1,1,0,0.2929,-1.5,0.4315,-2.5,0,0,Home,1,0.9091,8.5,9.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400018,2024-25,2024-11-15,OKC,PHX,PHX @ OKC,-7.5,228.5,16,182,1,1,0,0.7195,8.2,0.6975,7.5,1,1,Home,1,0.9091,7.8,8.5,Home favored,Mid (7-11),Early,Neither/Both
22400019,2024-25,2024-11-15,GSW,MEM,MEM @ GSW,-6.5,236.5,5,241,1,0,1,0.743,2.38,0.6731,6.5,1,1,Away,1,0.9091,2.62,1.5,Home favored,Small (3-7),Early,Neither/Both
22400020,2024-25,2024-11-15,SAC,MIN,MIN @ SAC,1.5,221.5,-4,256,0,0,1,0.5484,1.64,0.4588,-1.5,0,1,Home,0,-1.0,5.64,2.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400229,2024-25,2024-11-16,CHA,MIL,MIL @ CHA,3.5,220.5,1,229,1,1,1,0.4138,-4.36,0.4046,-3.5,0,0,Away,0,-1.0,5.36,4.5,Away favored,Small (3-7),Early,Neither/Both
22400230,2024-25,2024-11-16,BOS,TOR,TOR @ BOS,-16.5,230.5,3,249,1,0,1,0.8983,18.16,0.8725,16.5,1,1,Home,0,-1.0,15.16,13.5,Home favored,Big (11+),Early,Away on B2B
22400231,2024-25,2024-11-16,NOP,LAL,LAL @ NOP,7.5,220.5,-5,203,0,1,0,0.4172,-1.23,0.3025,-7.5,1,1,Home,1,0.9091,3.77,2.5,Away favored,Mid (7-11),Early,Neither/Both
22400232,2024-25,2024-11-16,DAL,SAS,SAS @ DAL,-13.5,229.5,17,203,1,1,0,0.7594,9.9,0.8241,13.5,1,1,Away,0,-1.0,7.1,3.5,Home favored,Big (11+),Early,Away on B2B
22400233,2024-25,2024-11-16,SAC,UTA,UTA @ SAC,-7.5,228.5,4,238,1,0,1,0.7633,9.02,0.6975,7.5,1,1,Home,0,-1.0,5.02,3.5,Home favored,Mid (7-11),Early,Home on B2B
22400234,2024-25,2024-11-17,MIN,PHX,PHX @ MIN,-7.5,218.5,3,237,1,0,1,0.6195,3.76,0.6975,7.5,1,1,Away,1,0.9091,0.76,4.5,Home favored,Mid (7-11),Early,Neither/Both
22400235,2024-25,2024-11-17,IND,MIA,MIA @ IND,-3.5,227.5,9,229,1,1,1,0.5653,1.89,0.5954,3.5,1,1,Away,0,-1.0,7.11,5.5,Home favored,Small (3-7),Early,Neither/Both
22400236,2024-25,2024-11-17,CLE,CHA,CHA @ CLE,-10.5,225.5,14,242,1,1,1,0.8441,17.96,0.7656,10.5,1,1,Home,1,0.9091,3.96,3.5,Home favored,Mid (7-11),Early,Away on B2B
22400237,2024-25,2024-11-17,WAS,DET,DET @ WAS,4.5,231.5,-20,228,0,0,0,0.4269,-0.01,0.3781,-4.5,1,1,Home,0,-1.0,19.99,15.5,Away favored,Small (3-7),Early,Neither/Both
22400238,2024-25,2024-11-17,MEM,DEN,DEN @ MEM,-5.5,228.5,15,195,1,1,0,0.4778,3.03,0.6478,5.5,0,1,Away,0,-1.0,11.97,9.5,Home favored,Small (3-7),Early,Neither/Both
22400239,2024-25,2024-11-17,POR,ATL,ATL @ POR,4.5,231.5,4,224,1,1,0,0.4233,-6.57,0.3781,-4.5,0,0,Away,0,-1.0,10.57,8.5,Away favored,Small (3-7),Early,Neither/Both
22400240,2024-25,2024-11-17,NYK,BKN,BKN @ NYK,-10.5,221.5,10,218,1,0,0,0.7356,5.83,0.7656,10.5,1,1,Away,1,0.9091,4.17,0.5,Home favored,Mid (7-11),Early,Neither/Both
22400241,2024-25,2024-11-17,CHI,HOU,HOU @ CHI,4.5,234.5,-36,250,0,0,1,0.4903,4.27,0.3781,-4.5,1,1,Home,0,-1.0,40.27,31.5,Away favored,Small (3-7),Early,Neither/Both
22400242,2024-25,2024-11-17,OKC,DAL,DAL @ OKC,-7.5,226.5,-2,240,0,0,1,0.7219,7.91,0.6975,7.5,0,0,Home,0,-1.0,9.91,9.5,Home favored,Mid (7-11),Early,Away on B2B
22400243,2024-25,2024-11-17,LAC,UTA,UTA @ LAC,-9.5,221.5,11,221,1,1,0,0.761,10.45,0.7439,9.5,1,1,Home,1,0.9091,0.55,1.5,Home favored,Mid (7-11),Early,Away on B2B
22400244,2024-25,2024-11-18,DET,CHI,CHI @ DET,-4.5,234.5,-10,234,0,0,0,0.4423,-0.46,0.6219,4.5,1,0,Away,1,0.9091,9.54,14.5,Home favored,Small (3-7),Early,Neither/Both
22400245,2024-25,2024-11-18,MIA,PHI,PHI @ MIA,-2.5,212.5,17,195,1,1,0,0.6298,4.7,0.5685,2.5,1,1,Home,1,0.9091,12.3,14.5,Home favored,Pick'em (0-3),Early,Home on B2B
22400246,2024-25,2024-11-18,NYK,WAS,WAS @ NYK,-14.5,233.5,28,240,1,1,1,0.86,18.31,0.8414,14.5,1,1,Home,1,0.9091,9.69,13.5,Home favored,Big (11+),Early,Neither/Both
22400247,2024-25,2024-11-18,TOR,IND,IND @ TOR,2.5,236.5,11,249,1,1,1,0.3466,-4.9,0.4315,-2.5,0,0,Away,0,-1.0,15.9,13.5,Away favored,Pick'em (0-3),Early,Away on B2B
22400248,2024-25,2024-11-18,MIL,HOU,HOU @ MIL,-3.5,224.5,1,201,1,0,0,0.5328,3.81,0.5954,3.5,1,1,Home,0,-1.0,2.81,2.5,Home favored,Small (3-7),Early,Away on B2B
22400249,2024-25,2024-11-18,PHX,ORL,ORL @ PHX,4.5,212.5,-10,208,0,0,0,0.5838,4.41,0.3781,-4.5,0,1,Home,0,-1.0,14.41,5.5,Away favored,Small (3-7),Early,Home on B2B
22400250,2024-25,2024-11-18,SAC,ATL,ATL @ SAC,-4.5,235.5,-1,217,0,0,0,0.6811,6.68,0.6219,4.5,0,0,Home,0,-1.0,7.68,5.5,Home favored,Small (3-7),Early,Away on B2B
22400251,2024-25,2024-11-18,LAC,GSW,GSW @ LAC,5.5,226.5,3,201,1,1,0,0.4372,0.25,0.3522,-5.5,0,0,Home,1,0.9091,2.75,8.5,Away favored,Small (3-7),Early,Home on B2B
22400021,2024-25,2024-11-19,BOS,CLE,CLE @ BOS,-6.5,234.5,3,237,1,0,1,0.6789,10.4,0.6731,6.5,1,1,Home,0,-1.0,7.4,3.5,Home favored,Small (3-7),Early,Neither/Both
22400022,2024-25,2024-11-19,BKN,CHA,CHA @ BKN,-1.5,218.5,1,231,1,0,1,0.6176,4.53,0.5412,1.5,1,1,Home,0,-1.0,3.53,0.5,Home favored,Pick'em (0-3),Early,Neither/Both
22400023,2024-25,2024-11-19,MEM,DEN,DEN @ MEM,-5.5,223.5,-12,232,0,0,1,0.515,6.96,0.6478,5.5,0,0,Home,0,-1.0,18.96,17.5,Home favored,Small (3-7),Early,Neither/Both
22400024,2024-25,2024-11-19,DAL,NOP,NOP @ DAL,-12.5,223.5,41,223,1,1,0,0.737,6.94,0.8057,12.5,1,1,Away,0,-1.0,34.06,28.5,Home favored,Big (11+),Early,Neither/Both
22400025,2024-25,2024-11-19,SAS,OKC,OKC @ SAS,9.5,222.5,6,214,1,1,0,0.3115,-5.47,0.2561,-9.5,0,0,Home,1,0.9091,11.47,15.5,Away favored,Mid (7-11),Early,Neither/Both
22400026,2024-25,2024-11-19,LAL,UTA,UTA @ LAL,-10.5,234.5,6,242,1,0,1,0.7832,8.82,0.7656,10.5,1,1,Away,1,0.9091,2.82,4.5,Home favored,Mid (7-11),Early,Neither/Both
22400252,2024-25,2024-11-20,CLE,NOP,NOP @ CLE,-14.5,217.5,28,228,1,1,1,0.781,9.83,0.8414,14.5,1,1,Away,0,-1.0,18.17,13.5,Home favored,Big (11+),Early,Neither/Both
22400253,2024-25,2024-11-20,MIL,CHI,CHI @ MIL,-8.5,239.5,16,228,1,1,0,0.5967,4.82,0.7212,8.5,1,1,Away,0,-1.0,11.18,7.5,Home favored,Mid (7-11),Early,Neither/Both
22400254,2024-25,2024-11-20,HOU,IND,IND @ HOU,-5.5,232.5,17,243,1,1,1,0.6474,5.49,0.6478,5.5,1,1,Away,0,-1.0,11.51,11.5,Home favored,Small (3-7),Early,Neither/Both
22400255,2024-25,2024-11-20,MEM,PHI,PHI @ MEM,4.5,226.5,6,228,1,1,1,0.6588,8.16,0.3781,-4.5,1,0,Home,1,0.9091,2.16,10.5,Away favored,Small (3-7),Early,Home on B2B
22400256,2024-25,2024-11-20,OKC,POR,POR @ OKC,-13.5,222.5,10,208,1,0,0,0.8434,10.06,0.8241,13.5,1,1,Away,1,0.9091,0.06,3.5,Home favored,Big (11+),Early,Home on B2B
22400257,2024-25,2024-11-20,PHX,NYK,NYK @ PHX,4.5,226.5,-16,260,0,0,1,0.4958,-1.71,0.3781,-4.5,1,1,Home,0,-1.0,14.29,11.5,Away favored,Small (3-7),Early,Neither/Both
22400258,2024-25,2024-11-20,GSW,ATL,ATL @ GSW,-7.5,240.5,23,217,1,1,0,0.7436,8.56,0.6975,7.5,1,1,Home,1,0.9091,14.44,15.5,Home favored,Mid (7-11),Early,Neither/Both
22400259,2024-25,2024-11-20,LAC,ORL,ORL @ LAC,2.5,205.5,11,197,1,1,0,0.5748,-1.84,0.4315,-2.5,1,0,Home,1,0.9091,12.84,13.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400260,2024-25,2024-11-21,CHA,DET,DET @ CHA,2.5,222.5,2,244,1,1,1,0.5184,-1.89,0.4315,-2.5,1,0,Home,1,0.9091,3.89,4.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400261,2024-25,2024-11-21,TOR,MIN,MIN @ TOR,6.5,226.5,5,215,1,1,0,0.2746,-9.78,0.3269,-6.5,0,0,Away,0,-1.0,14.78,11.5,Away favored,Small (3-7),Early,Neither/Both
22400262,2024-25,2024-11-21,SAS,UTA,UTA @ SAS,-2.5,224.5,8,244,1,1,1,0.6106,3.06,0.5685,2.5,1,1,Home,1,0.9091,4.94,5.5,Home favored,Pick'em (0-3),Early,Neither/Both
22400263,2024-25,2024-11-21,LAL,ORL,ORL @ LAL,-5.5,215.5,-1,237,0,0,1,0.6349,7.07,0.6478,5.5,0,0,Home,0,-1.0,8.07,6.5,Home favored,Small (3-7),Early,Away on B2B
22400027,2024-25,2024-11-22,PHI,BKN,BKN @ PHI,-3.5,215.5,15,211,1,1,0,0.5402,1.53,0.5954,3.5,1,1,Away,0,-1.0,13.47,11.5,Home favored,Small (3-7),Early,Neither/Both
22400028,2024-25,2024-11-22,WAS,BOS,BOS @ WAS,15.5,237.5,-12,204,0,1,0,0.1287,-11.94,0.1425,-15.5,1,1,Home,1,0.9091,0.06,3.5,Away favored,Big (11+),Early,Neither/Both
22400029,2024-25,2024-11-22,MIL,IND,IND @ MIL,-5.5,235.5,12,246,1,1,1,0.593,3.16,0.6478,5.5,1,1,Away,0,-1.0,8.84,6.5,Home favored,Small (3-7),Early,Neither/Both
22400030,2024-25,2024-11-22,CHI,ATL,ATL @ CHI,1.5,246.5,14,258,1,1,1,0.5524,2.23,0.4588,-1.5,1,0,Home,1,0.9091,11.77,15.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400031,2024-25,2024-11-22,HOU,POR,POR @ HOU,-11.5,226.5,28,204,1,1,0,0.8074,11.12,0.7862,11.5,1,1,Away,0,-1.0,16.88,16.5,Home favored,Big (11+),Early,Neither/Both
22400032,2024-25,2024-11-22,NOP,GSW,GSW @ NOP,10.5,221.5,-4,220,0,1,0,0.3107,-6.88,0.2344,-10.5,1,1,Home,1,0.9091,2.88,6.5,Away favored,Mid (7-11),Early,Neither/Both
22400033,2024-25,2024-11-22,DEN,DAL,DAL @ DEN,-4.5,229.5,-3,243,0,0,1,0.5442,1.9,0.6219,4.5,0,0,Away,1,0.9091,4.9,7.5,Home favored,Small (3-7),Early,Neither/Both
22400034,2024-25,2024-11-22,LAC,SAC,SAC @ LAC,4.5,218.5,16,192,1,1,0,0.5468,3.64,0.3781,-4.5,1,0,Home,1,0.9091,12.36,20.5,Away favored,Small (3-7),Early,Neither/Both
22400264,2024-25,2024-11-23,UTA,NYK,NYK @ UTA,8.5,233.5,15,227,1,1,0,0.2382,-11.99,0.2788,-8.5,0,0,Away,0,-1.0,26.99,23.5,Away favored,Mid (7-11),Early,Neither/Both
22400265,2024-25,2024-11-23,ORL,DET,DET @ ORL,-9.5,207.5,11,211,1,1,1,0.7885,10.24,0.7439,9.5,1,1,Home,1,0.9091,0.76,1.5,Home favored,Mid (7-11),Early,Neither/Both
22400266,2024-25,2024-11-23,CHI,MEM,MEM @ CHI,4.5,244.5,-11,273,0,0,1,0.4544,-1.05,0.3781,-4.5,1,1,Home,0,-1.0,9.95,6.5,Away favored,Small (3-7),Early,Home on B2B
